feature,coefficient,absolute_coefficient
numeric__age,0.8386589438362527,0.8386589438362527
categorical__smoking_status_1.0,-0.4300109481303633,0.4300109481303633
categorical__smoking_status_0.0,-0.3991648336663558,0.3991648336663558
numeric__bmi,0.2633876544652841,0.2633876544652841
numeric__waist_cm,0.22377131331962194,0.22377131331962194
numeric__sedentary_minutes,-0.19235664451502235,0.19235664451502235
categorical__smoking_status_2.0,0.13315811561342927,0.13315811561342927
numeric__avg_diastolic_bp,0.11618537640013102,0.11618537640013102
numeric__average_sleep_hours,-0.0364300655904744,0.0364300655904744
numeric__recreation_met_minutes_week,-0.034456865092322674,0.034456865092322674
numeric__avg_systolic_bp,-0.016562974898895483,0.016562974898895483
